WKT;full_id;osm_id;osm_type;historic;board_type;tourism;information;barrier;wikimedia_commons;subject:wikipedia;subject:wikidata;ref;name;memorial;material;description;width;height;access;entrance
"POINT (502082.05818494 5785428.61960066)";n1329315907;"1329315907";node;;;;;;;;;;;;;;;;;yes
"POINT (502073.089741127 5785441.91859035)";n1329315953;"1329315953";node;;;;;;;;;;;;;;;;;yes
"POINT (502073.589609276 5785455.43288332)";n1329316095;"1329316095";node;;;;;;;;;;;;;;;;;main
"POINT (501956.273346412 5782063.40346719)";n2507159701;"2507159701";node;;;;;;;;;;;;;;;;;yes
"POINT (501876.157828936 5784743.6016864)";n4312168588;"4312168588";node;;;;;;;;;;;;;;;;;main
"POINT (506181.992858828 5779413.24474845)";n4338359986;"4338359986";node;;;;;;;;;;;;;;;;;main
"POINT (500282.215681944 5788520.77526424)";n4583444221;"4583444221";node;;;;;;;;;;;;;;;;;main
"POINT (502130.352972455 5785452.96549074)";n4910609675;"4910609675";node;;;;;;;;;;;;;;;;;yes
"POINT (502107.4290472 5785479.56118805)";n4910609978;"4910609978";node;;;;;;;;;;;;;;;;;yes
"POINT (502117.377388066 5785427.3332193)";n4910660833;"4910660833";node;;;;;;;;;;;;;;;;;yes
"POINT (500961.998838411 5788593.44783843)";n4962090528;"4962090528";node;;;;;;;;;;;;;;"3";"4.5";yes;main
"POINT (501026.264088557 5788058.01154374)";n5148660233;"5148660233";node;memorial;;;;;;;;;;plaque;metal;pierwsza warta żołnierza polskiego;;;;
"POINT (500249.894880812 5788132.44495034)";n8017681067;"8017681067";node;memorial;;;;;;;;;Julian Piasecki;plaque;;;;;;
"POINT (500267.905931216 5788141.6555272)";n8017681068;"8017681068";node;memorial;;;;;;;;;Szpital Maltański;plaque;;;;;;
"POINT (500259.781227988 5788136.33842092)";n8753117266;"8753117266";node;;;;;;;;;;;;;;;;;main
"POINT (500962.134826508 5788596.29529016)";n8846360489;"8846360489";node;memorial;;;;;;;;;Konstytucja 3 Maja;plaque;;;;;;
"POINT (501676.513256148 5785979.59581118)";n8920303546;"8920303546";node;;;;;;;;;;;;;;;;;main
"POINT (501050.860994088 5788011.47913901)";n8969006971;"8969006971";node;memorial;;;;;;;;;Lech Kaczyński;plaque;;;;;;
"POINT (501051.789973315 5788009.66632893)";n8969006974;"8969006974";node;memorial;;;;;;;;;;plaque;;krzyż harcerski;;;;
"POINT (501050.574104381 5788012.03521535)";n8969006979;"8969006979";node;memorial;;;;;;;;;Fryderyk Chopin;plaque;;;;;;
"POINT (500695.311877236 5788254.98231792)";n9045280657;"9045280657";node;memorial;;;;;;;;;Krzysztof Kamil Baczyński;plaque;;;;;;
"POINT (501038.415774939 5787643.84764273)";n10011896839;"10011896839";node;memorial;;;;;;;;;Zygmunt Krasiński;plaque;;;;;;
"POINT (501089.374606872 5788519.21873763)";n10111130012;"10111130012";node;;;;;;;;;;;;;;;;;yes
"POINT (506128.117058125 5779373.62591254)";n10116960447;"10116960447";node;;;;;;;;;;;;;;;;;yes
"POINT (506128.284991214 5779370.56740191)";n10116960448;"10116960448";node;;;;;;;;;;;;;;;;;yes
"POINT (500344.853110631 5788648.39059688)";n10181298761;"10181298761";node;;;;;;;;;;;;;;;;;main
"POINT (501145.992324884 5787812.64784785)";n10212027536;"10212027536";node;;;;;;;;;C;;;;;;;;staircase
"POINT (501154.449697035 5787795.08700452)";n10212027537;"10212027537";node;;;;;;;;;A;;;;;;;;staircase
"POINT (501138.199944676 5787789.21043278)";n10271028274;"10271028274";node;;;;;;;;;;;;;;;;;yes
"POINT (501380.895342467 5787787.15888469)";n10307431918;"10307431918";node;memorial;;;;;File:Plaque at the Kazimierzowski Palace in Warsaw.jpg;pl:Szkoła Rycerska;Q282366;;250 rocznica powstania Szkoły Rycerskiej;plaque;;;;;;
"POINT (500088.713573298 5787701.9002935)";n10657447718;"10657447718";node;;;;;gate;;;;;;;;;;;;
"POINT (501667.716610078 5785955.46768054)";n10916271957;"10916271957";node;memorial;;;;;;;;;Gwardia Ludowa;plaque;metal;;;;;
"POINT (501666.889009279 5785958.68186527)";n10916271958;"10916271958";node;memorial;;;;;;;;;Zygmunt Jan Rumel;plaque;metal;;;;;
"POINT (500459.777798176 5789323.57380733)";n11062114309;"11062114309";node;memorial;;;;;;;;;Czwarty Pułk Piechoty Liniowej;plaque;stone;;;;;
"POINT (502094.783924183 5785480.07859012)";n11137386218;"11137386218";node;;;;;;;;;;;;;;;;;yes
"POINT (500938.009378729 5787976.23072665)";n11377970742;"11377970742";node;;;information;board;;;;;;Ossolińscy;;;;;;;
"POINT (500294.294044688 5789420.95214903)";n11443237603;"11443237603";node;;;information;board;;;;;;Edward Fondamiński;;;;;;;
"POINT (500730.647648174 5788279.90236825)";n11446085682;"11446085682";node;;;information;board;;;;;;Pałac Blanka;;;;;;;
"POINT (500757.069027115 5788599.70771341)";n11455411151;"11455411151";node;;history;information;board;;;;;;Ulica Podwale;;;;;;;
"POINT (501127.644795395 5787813.67804788)";n11494077096;"11494077096";node;;history;information;board;;;;;;Pałac Tyszkiewiczów;;;;;;;
"POINT (500841.682649227 5788406.47466792)";n11626344229;"11626344229";node;;;information;board;;;;;;Pałac Prymasowski;;;;;;;
"POINT (501027.787000007 5788056.54365737)";n11634536730;"11634536730";node;memorial;;;;;;;;;Zgromadzenie Przyjaciół Ustawy Rządowej 3 Maja;plaque;stone;;;;;
"POINT (500737.217045868 5788500.15606593)";n11773290545;"11773290545";node;;history;information;board;;;;;;Pałac Szaniawskich;;;;;;;
"POINT (501675.85589023 5785984.37835445)";n11773311694;"11773311694";node;;;information;board;;;;;;Pałacyk Aleksandra Rembielińskiego;;;;;;;
"POINT (502074.062209598 5785468.80257007)";n11832450708;"11832450708";node;memorial;;;;;;;;;Aleksander Gierymski;plaque;;;;;;
"POINT (502073.906922529 5785464.42016008)";n11832464728;"11832464728";node;;;information;board;;;;;;Zamek Ujazdowski;;;;;;;
"POINT (502073.258590075 5785446.5457053)";n11832464729;"11832464729";node;memorial;;;;;;;;;Lazarety wojskowe;plaque;;;;;;
"POINT (500267.025181027 5788141.18832422)";n11832475645;"11832475645";node;;;information;board;;;;;;Pałac Mniszchów;;;;;;;
"POINT (501558.737510131 5787348.67551316)";n11832489770;"11832489770";node;;history;information;board;;;;;;Zamek Ostrogskich — Pałac Gnińskich;;;;;;;
"POINT (500609.336299809 5788556.04162314)";n12041299954;"12041299954";node;;;information;board;;;;;;Pałac Paca;;;;;;;
"POINT (500948.025762712 5788012.97106157)";n12628549509;"12628549509";node;;;;;;;;;;;;;;;;;main
"POINT (500986.162427505 5787998.54119212)";n12628549538;"12628549538";node;;;;;;;;;;;;;;;;;yes
"POINT (500976.076016808 5788041.17267472)";n12628549539;"12628549539";node;;;;;;;;;;;;;;;;;yes
